frame,time,time_unit,atoms,net_moment_x,net_moment_y,net_moment_z,net_moment_norm,mean_moment_norm,min_moment_norm,max_moment_norm,moment_unit
0,0.2,ps,4,0.2,0.02,0.5,0.538887743412299,1.28221003717768,1.00144895027156,1.61322658049017,μB
1,0.3,ps,4,0.23,0.03,0.49,0.542125446737192,1.26536443131002,0.991463564635635,1.58612735932522,μB
2,0.4,ps,4,0.26,0.04,0.48,0.54735728733616,1.24864652261864,0.981478476585197,1.5593909067325,μB
3,0.5,ps,4,0.29,0.05,0.47,0.554526825320471,1.23206232078145,0.971493695296063,1.53303620309502,μB
4,0.6,ps,4,0.32,0.06,0.46,0.563560112144215,1.21561815555265,0.96150923032491,1.50708327573495,μB
5,0.7,ps,4,0.35,0.07,0.45,0.574369219230975,1.1993206903793,0.951525091629222,1.48155323900291,μB
6,0.8,ps,4,0.38,0.08,0.44,0.586856030044848,1.18317693552884,0.941541289588513,1.4564683312726,μB
7,0.9,ps,4,0.41,0.09,0.43,0.600915967502945,1.16719426045689,0.931557835026897,1.43185194765381,μB
8,1,ps,4,0.44,0.1,0.42,0.616441400296898,1.15138040509747,0.921574739237139,1.40772866703779,μB
9,1.1,ps,4,0.47,0.11,0.41,0.63332456134276,1.13574348970741,0.911592014006266,1.38412427187735,μB
